spot_ticker,premium,daysleft,annual_return,fdate,spot_last,future_last,ssystime,sdatetime,fdatetime,fsystime
xrp_usd,0.01817244490269365,3,8.945328552731162,this_week,0.7759,0.79,2018-05-09 17:04,2018-05-09 17:03,2018-05-09 17:04,2018-05-09 17:04
eos_usd,0.013630505992086346,3,5.192304507168537,this_week,17.6149,17.855,2018-05-09 17:04,2018-05-09 17:03,2018-05-09 17:04,2018-05-09 17:04
bch_usd,0.013504011424037775,10,1.6316602236992162,next_week,1539.4907,1560.28,2018-05-09 17:04,2018-05-09 17:03,2018-05-09 17:04,2018-05-09 17:04
etc_usd,0.010809523809523824,3,3.6991439285987506,this_week,21.0,21.227,2018-05-09 17:04,2018-05-09 17:03,2018-05-09 17:04,2018-05-09 17:04
btc_usd,0.009422115918132218,10,1.4081787033417206,next_week,9120.0003,9205.93,2018-05-09 17:04,2018-05-09 17:03,2018-05-09 17:04,2018-05-09 17:04
eth_usd,0.008311824310286093,3,2.737629348170499,this_week,729.1901,735.251,2018-05-09 17:04,2018-05-09 17:03,2018-05-09 17:04,2018-05-09 17:04
bch_usd,0.005943069354040293,3,2.056351457846843,this_week,1539.4907,1548.64,2018-05-09 17:04,2018-05-09 17:03,2018-05-09 17:04,2018-05-09 17:04
ltc_usd,0.005767646605371183,3,2.013177698817231,this_week,155.0199,155.914,2018-05-09 17:04,2018-05-09 17:03,2018-05-09 17:04,2018-05-09 17:04
btc_usd,0.005247773950182971,3,1.8904401864906608,this_week,9120.0003,9167.86,2018-05-09 17:04,2018-05-09 17:03,2018-05-09 17:04,2018-05-09 17:04
btg_usd,0.0031500815393923714,10,1.1216460126800054,next_week,67.2681,67.48,2018-05-09 17:04,2018-05-09 17:04,2018-05-09 17:04,2018-05-09 17:04
eos_usd,0.16939822273330205,51,3.06476923504457,quarter,17.5663,20.542,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
btg_usd,0.14772658140697778,51,2.6807449852613208,quarter,67.3941,77.35,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
etc_usd,0.13999046711153484,51,2.5540783704771908,quarter,20.98,23.917,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
ltc_usd,0.13989704222405328,51,2.5525807260763913,quarter,154.8596,176.524,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
xrp_usd,0.1304909560723514,51,2.4056102673574977,quarter,0.774,0.875,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
bch_usd,0.1271526274235494,51,2.355229581675829,quarter,1538.2655,1733.86,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
eth_usd,0.11067840291994344,51,2.1196755969004575,quarter,729.0004,809.685,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
eos_usd,0.050648115994831086,10,6.070031461979947,next_week,17.5663,18.456,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
ltc_usd,0.04352587763367589,10,4.735519724953375,next_week,154.8596,161.6,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
etc_usd,0.03860819828408001,10,3.9855544171527204,next_week,20.98,21.79,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
xrp_usd,0.034883720930232585,10,3.4957613158703107,next_week,0.774,0.801,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
btc_usd,0.026172077285963352,51,1.2030990445195981,quarter,9124.9998,9363.82,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
btg_usd,0.02234468595915683,3,14.712173662429535,this_week,67.3941,68.9,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
eth_usd,0.021164048744006122,10,2.1477629909654046,next_week,729.0004,744.429,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
xrp_usd,0.020671834625323016,3,12.054408106556007,this_week,0.774,0.79,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
bch_usd,0.018724010907089843,10,1.968175395865482,next_week,1538.2655,1567.068,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
eos_usd,0.017231858729499186,3,7.9939420857874675,this_week,17.5663,17.869,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
eth_usd,0.010889705959009009,3,3.735016401082818,this_week,729.0004,736.939,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
etc_usd,0.010343183984747319,3,3.4971809820683033,this_week,20.98,21.197,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
btc_usd,0.007902487844438198,10,1.332833430849207,next_week,9124.9998,9197.11,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
bch_usd,0.007073876388698804,3,2.3575552170911784,this_week,1538.2655,1549.147,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
